year,price,mileage
2024,103.99,1.459
2016,30.728,165.048
2004,15.99,0
2022,56.988,47.571
2010,24.999,131.836
2005,19.2,182.191
2022,75.99,36.965
2022,53.117,11.967
2022,43.988,34.227
2011,24,66.333
2012,28.495,117.83
2008,18,192.8
2011,19.995,128.327
2020,47.5,28.166
2021,71.995,28.977
2021,78.7,26.187
2000,33.999,98.882
2015,35.995,63.793
2008,6,231.388
2017,47.248,89.176
2008,17,164
2023,129.9,11.841
2022,54.9,12.15
2017,33.888,88.581
2015,34.995,16.676
2021,51.995,37.844
2020,59.995,102.618
2014,24.995,203.865
2019,42.109,37.733
2022,69.963,8.928
2020,55.289,105.751
2021,67.495,44.969
2017,50,25.425
2020,59.995,73.63
2019,17.388,176.222
2016,44.963,76.329
2019,55.525,19.216
2015,8.9,200
2018,55,61.511
2019,54.998,51.766
1997,54.5,52.879
2016,43.5,69.75
2017,52,70
2011,14,98.875
2021,45.495,50.21
2022,92.29,34.22
2010,12.999,157.589
2021,67.5,61.45
2019,49.25,76.897
2020,47.648,66.488
2011,19.888,178
2017,37.995,93.374
2015,29.998,65.316
2017,29.977,170.312
2019,16.888,195.786
2023,56.988,8.886
2016,44.963,62.68
2019,59.9,56.445
2012,29.888,140.121
2017,59.995,35.367
2022,84.9,9.109
2020,39.995,41.912
2015,30.798,130.151
2001,11.999,100.897
2018,30.5,129.145
2017,46.992,67.317
2008,29.9,129.122
2020,69.963,20.132
2017,41.995,97.368
2023,58.55,0.973
2014,44.963,48.679
2011,16,49.082
2022,56.919,28.85
2015,31,71
2020,65.339,52.111
2023,64.95,0.801
2020,24.9,35.738
2014,22.995,210.583
2016,45,141.746
2024,134.9,0.445
2018,54.164,82.765
2015,36.555,113.367
2020,59.999,83.75
2021,49.5,49.278
2016,32.995,46.938
1999,7.5,142
2016,59.9,25.736
2005,24.999,108.147
2021,44.895,91
2021,54.495,24.572
2015,24.995,139.699
2012,35.295,74.817
2023,80.154,6.668
2022,65.495,7.546
2021,58.581,75.493
2022,52.999,15.2
2022,50.946,56.457
2022,33.9,2.913
2017,60.995,55.321
2008,20.995,123.36
2009,10.9,167.131
2018,47.5,50.288
2019,59.99,40.503
1996,14.5,285
2020,44.5,93.657
2006,35.99,13.754
2017,40.49,111.716
2020,48.995,110.612
2022,59.995,18.669
2019,30.229,106.838
2016,39.995,44.118
2020,43.513,34.39
2021,70,4.4
2014,17.995,106.867
2017,39.7,131.882
2015,25.998,59.265
2001,20,254
1997,54.5,97.067
2018,44.749,123.103
2022,58.988,29.947
2018,59.999,37.181
2006,16.895,171
2022,55.987,45.533
2022,58.5,43.791
2016,29.986,149.497
2018,43.409,113.5
1990,38.9,28.945
2008,16.999,146.823
2015,27.495,216.24
2021,51.742,45.814
2018,38.8,90.116
2012,22.5,54.156
2012,23.999,51.619
2012,27.999,81.305
2020,55.75,63.253
2017,53.496,65.124
2022,52.945,32.929
2020,53.55,34.355
2019,48.499,134.712
2006,16.5,190.073
2020,64.243,34.606
2014,27.995,134.89
2020,63.985,41.091
2018,51.963,70.133
2002,15.995,196.947
2012,17.999,135.586
2021,63,45.068
2019,54.991,79.493
2023,134.9,0.047
2021,58,78.018
2023,79.541,13.36
2022,59.995,4.973
2016,46.497,88.745
2022,77.361,16.048
2022,64.04,65.554
2022,69.995,23.821
2020,50.996,61.875
1997,3,120
2015,24.999,100.253
2015,31,30.732
2018,56.255,57.965
2013,38.65,109.329
2019,33,101.822
2008,33.495,56.662
2005,8.999,212.722
2008,8.495,122.659
2022,69.998,29.109
2010,13.995,181.373
2020,47.495,19.865
2006,16.995,347.563
2012,24.995,51.69
1996,79.9,13.225
2021,57.495,34.242
2010,18.391,42.638
2022,54.995,54.806
2018,63.2,56.71
2016,41.995,52
2022,64.5,25.1
2019,54.998,73.863
2005,11.5,36.499
2018,48.89,77.06
2022,48.499,6.639
2016,36.75,111
2021,66.681,33.989
2012,31.985,109.498
2022,44.995,25.5
2021,71.8,26.552
2012,22.5,234.565
2016,46.995,41.158
2022,57.381,46.527
2005,27.999,93.963
2021,59.99,36.77
2015,22.596,116.775
2020,47.447,105.771
2022,60.776,48.026
2022,49.876,2.316
2022,64.577,9.079
2018,33.975,62.068
2016,28.995,68.1
2022,58.975,16.576
2022,51.55,15.517
2017,39.888,55.522
2012,12.5,181.111
2011,21.995,72.594
2020,43.995,86.984
2017,34.999,86.452
2019,16.5,239.207
2021,41.999,24.48
2020,51.475,52.024
2018,44.99,68.969
2018,55.4,61.422
2023,84.985,13.685
2015,36.995,58.624
2014,10.5,173.429
2010,17.995,166.058
2020,43.995,98.786
2014,18.442,115.869
2023,119.9,7.085
2023,65.99,2.585
2022,56.7,38.332
2022,55.981,51.339
2017,50.795,78.302
2017,28.995,44.34
2022,78.705,20.7
2008,20.999,90.163
2017,37.995,92.235
2021,49.999,41.069
2020,87.249,24.347
2015,29.963,81.412
2008,19.995,106.561
2018,52.699,71.617
2014,37.957,112.856
2019,46.995,41.359
2005,12,115
2019,58.437,59.152
2005,12.995,81.111
2014,29.999,118.069
2016,34.995,91.826
2015,27.782,34.893
2020,36.9,93.266
2016,29.5,79.579
2019,55.925,14.311
2022,49.995,32.208
2016,17.995,128.753
2014,27.495,159.295
2023,95.99,0.05
2017,39.5,47.7
2023,64.997,11.591
2022,64.999,21.237
2021,51.999,23.683
2019,49.085,111.227
2022,52.9,0.3
2013,29,31.315
2019,43.8,83.365
2022,47.49,12.552
2012,16.994,197.766
2021,59.995,8.175
2019,44.995,91.939
2022,61.925,47.28
2020,58.75,22.037
2017,32.995,133.004
2015,35.493,68.899
2019,55.495,70.558
2018,51.95,84.869
2017,42.995,87.901
2022,59.988,5.831
2014,18.499,18.76
2022,43.995,39.875
2013,25.995,149.223
2020,44.621,47.904
2011,24.995,72.88
